Model,Dataset,RMSE,R2
Linear Regression,Train,234866.99311580142,-36.493833319632934
Linear Regression,Test,370584.3888970046,-84.39279403175463
Random Forest,Train,23372.77788082918,0.6286900967148921
Random Forest,Test,36807.48490692491,0.15759823468318945
XGBoost,Train,33767.51879209092,0.2249777526372556
XGBoost,Test,36657.374263097576,0.16445529738913967
